"ITTER107","Territorio","TIPO_DATO29","Variabile","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",3504082,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",4467755,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",4238085,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",1816750,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",987386,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",355466,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","91","attività di biblioteche, archivi, musei ed altre attività culturali","2020","2020",56995,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","105","industria lattiero-casearia","2020","2020",606558,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","204","fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura, di profumi e cosmetici","2020","2020",457908,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",118658,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",444587,,
"IT","Italia","15110","investimenti lordi in beni materiali (migliaia di euro)","245","fonderie","2020","2020",279079,,
